system:index,rainfall,.geo
0,0.5879475455951534,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.45873749485297177,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5011344424057326,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.3600282264371107,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.5135632416528211,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.441740187106036,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.41721997153101265,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.43144898244921537,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.47375307528449273,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.3773335404114523,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.4369914084619781,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5498808457758972,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.48033063145684807,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.459745398347562,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.4525064774582037,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2646870617717647,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.3780261405700483,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.36706119879464694,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.4254025085305682,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5107478244387439,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.4499596063065163,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5702390935817978,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.7221357441778078,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.41145334488522106,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.4969522195627856,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.25916835911816594,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.34760170236953364,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.29849972516250484,"{""type"":""MultiPoint"",""coordinates"":[]}"
